0 pitch 63.111111111111114; amp 0.5981818181818181; tmpo 81.11111111111111; harmony 0.1; 
250 pitch 63.111111111111114; amp 0.5981818181818181; tmpo 81.11111111111111; harmony 0.1; 
250 pitch 73.33333333333333; amp 0.5736363636363636; tmpo 68.33333333333334; harmony 0.1; 
250 pitch 74.66666666666667; amp 0.6718181818181818; tmpo 66.66666666666666; harmony 0.1; 
250 pitch 71.55555555555556; amp 0.6063636363636363; tmpo 70.55555555555556; harmony 0.1; 
250 pitch 70.22222222222223; amp 0.6718181818181818; tmpo 72.22222222222223; harmony 0.1; 
250 pitch 68.44444444444444; amp 0.5572727272727273; tmpo 74.44444444444444; harmony 0.1; 
250 pitch 66.22222222222223; amp 0.7454545454545454; tmpo 77.22222222222223; harmony 0.2; 
250 pitch 75.11111111111111; amp 0.6063636363636363; tmpo 66.11111111111111; harmony 0.1; 
250 pitch 72.44444444444444; amp 0.5572727272727273; tmpo 69.44444444444444; harmony 0.1; 
250 pitch 63.111111111111114; amp 0.4509090909090908; tmpo 81.11111111111111; harmony 0.1; 
250 pitch 62.22222222222222; amp 0.5081818181818181; tmpo 82.22222222222223; harmony 0.2; 
250 pitch 70.22222222222223; amp 0.4181818181818181; tmpo 72.22222222222223; harmony 0.3; 
250 pitch 71.11111111111111; amp 0.59; tmpo 71.11111111111111; harmony 0.4; 
250 pitch 79.11111111111111; amp 0.6718181818181818; tmpo 61.11111111111111; harmony 0.5; 
250 pitch 71.11111111111111; amp 0.5245454545454544; tmpo 71.11111111111111; harmony 0.1; 
250 pitch 74.66666666666667; amp 0.6063636363636363; tmpo 66.66666666666666; harmony 0.1; 
250 pitch 72.0; amp 0.4181818181818181; tmpo 70.0; harmony 0.1; 
250 pitch 68.0; amp 0.49181818181818177; tmpo 75.0; harmony 0.1; 
250 pitch 62.22222222222222; amp 0.46727272727272723; tmpo 82.22222222222223; harmony 0.1; 
250 pitch 68.88888888888889; amp 0.37727272727272726; tmpo 73.88888888888889; harmony 0.1; 
250 pitch 69.77777777777777; amp 0.5572727272727273; tmpo 72.77777777777777; harmony 0.1; 
250 pitch 69.77777777777777; amp 0.5736363636363636; tmpo 72.77777777777777; harmony 0.2; 
250 pitch 65.33333333333334; amp 0.639090909090909; tmpo 78.33333333333333; harmony 0.3; 
250 pitch 69.77777777777777; amp 0.5081818181818181; tmpo 72.77777777777777; harmony 0.1; 
250 pitch 66.22222222222223; amp 0.59; tmpo 77.22222222222223; harmony 0.1; 
250 pitch 68.0; amp 0.4263636363636363; tmpo 75.0; harmony 0.1; 
250 pitch 73.33333333333333; amp 0.6718181818181818; tmpo 68.33333333333334; harmony 0.1; 
250 pitch 76.88888888888889; amp 0.6554545454545454; tmpo 63.88888888888889; harmony 0.1; 
250 pitch 60.44444444444444; amp 0.5572727272727273; tmpo 84.44444444444444; harmony 0.1; 
250 pitch 72.88888888888889; amp 0.5163636363636364; tmpo 68.88888888888889; harmony 0.2; 
250 pitch 66.66666666666667; amp 0.4754545454545454; tmpo 76.66666666666667; harmony 0.3; 
250 pitch 73.33333333333333; amp 0.59; tmpo 68.33333333333334; harmony 0.1; 
250 pitch 67.55555555555556; amp 0.59; tmpo 75.55555555555556; harmony 0.1; 
250 pitch 60.888888888888886; amp 0.3854545454545454; tmpo 83.88888888888889; harmony 0.2; 
250 pitch 72.88888888888889; amp 0.5654545454545454; tmpo 68.88888888888889; harmony 0.1; 
250 pitch 71.11111111111111; amp 0.6063636363636363; tmpo 71.11111111111111; harmony 0.2; 
250 pitch 64.44444444444444; amp 0.5163636363636364; tmpo 79.44444444444444; harmony 0.1; 
250 pitch 71.55555555555556; amp 0.4754545454545454; tmpo 70.55555555555556; harmony 0.1; 
250 pitch 76.0; amp 0.7209090909090908; tmpo 65.0; harmony 0.1; 
250 pitch 68.0; amp 0.5327272727272727; tmpo 75.0; harmony 0.1; 
250 pitch 64.88888888888889; amp 0.31181818181818177; tmpo 78.88888888888889; harmony 0.1; 
250 pitch 65.77777777777777; amp 0.44272727272727264; tmpo 77.77777777777777; harmony 0.1; 
250 pitch 68.44444444444444; amp 0.4181818181818181; tmpo 74.44444444444444; harmony 0.1; 
250 pitch 70.22222222222223; amp 0.6881818181818182; tmpo 72.22222222222223; harmony 0.1; 
250 pitch 78.22222222222223; amp 0.5163636363636364; tmpo 62.22222222222222; harmony 0.2; 
250 pitch 63.111111111111114; amp 0.6799999999999999; tmpo 81.11111111111111; harmony 0.1; 
250 pitch 68.88888888888889; amp 0.4099999999999999; tmpo 73.88888888888889; harmony 0.1; 
250 pitch 73.77777777777777; amp 0.5245454545454544; tmpo 67.77777777777777; harmony 0.1; 
250 pitch 72.0; amp 0.6472727272727272; tmpo 70.0; harmony 0.1; 
250 pitch 71.11111111111111; amp 0.5409090909090909; tmpo 71.11111111111111; harmony 0.1; 
250 pitch 68.88888888888889; amp 0.46727272727272723; tmpo 73.88888888888889; harmony 0.1; 
250 pitch 75.11111111111111; amp 0.6472727272727272; tmpo 66.11111111111111; harmony 0.1; 
250 pitch 64.44444444444444; amp 0.6554545454545454; tmpo 79.44444444444444; harmony 0.1; 
250 pitch 68.88888888888889; amp 0.43454545454545446; tmpo 73.88888888888889; harmony 0.1; 
250 pitch 75.55555555555556; amp 0.7127272727272727; tmpo 65.55555555555556; harmony 0.1; 
250 pitch 63.111111111111114; amp 0.6309090909090909; tmpo 81.11111111111111; harmony 0.1; 
250 pitch 60.44444444444444; amp 0.4099999999999999; tmpo 84.44444444444444; harmony 0.1; 
250 pitch 67.11111111111111; amp 0.6309090909090909; tmpo 76.11111111111111; harmony 0.1; 
250 pitch 76.0; amp 0.6145454545454545; tmpo 65.0; harmony 0.1; 
250 pitch 73.77777777777777; amp 0.7454545454545454; tmpo 67.77777777777777; harmony 0.1; 
250 pitch 72.88888888888889; amp 0.5572727272727273; tmpo 68.88888888888889; harmony 0.1; 
250 pitch 73.33333333333333; amp 0.7045454545454546; tmpo 68.33333333333334; harmony 0.1; 
250 pitch 77.33333333333334; amp 0.639090909090909; tmpo 63.33333333333333; harmony 0.1; 
250 pitch 82.66666666666667; amp 0.6636363636363636; tmpo 56.666666666666664; harmony 0.1; 
250 pitch 70.22222222222223; amp 0.5736363636363636; tmpo 72.22222222222223; harmony 0.2; 
250 pitch 68.88888888888889; amp 0.6881818181818182; tmpo 73.88888888888889; harmony 0.1; 
250 pitch 72.88888888888889; amp 0.639090909090909; tmpo 68.88888888888889; harmony 0.1; 
250 pitch 73.77777777777777; amp 0.7945454545454546; tmpo 67.77777777777777; harmony 0.2; 
250 pitch 77.33333333333334; amp 0.8027272727272726; tmpo 63.33333333333333; harmony 0.1; 
250 pitch 68.44444444444444; amp 0.639090909090909; tmpo 74.44444444444444; harmony 0.2; 
250 pitch 74.66666666666667; amp 0.8027272727272726; tmpo 66.66666666666666; harmony 0.1; 
250 pitch 68.44444444444444; amp 0.5736363636363636; tmpo 74.44444444444444; harmony 0.2; 
250 pitch 64.44444444444444; amp 0.8027272727272726; tmpo 79.44444444444444; harmony 0.1; 
250 pitch 75.11111111111111; amp 0.7209090909090908; tmpo 66.11111111111111; harmony 0.1; 
250 pitch 73.77777777777777; amp 0.8027272727272726; tmpo 67.77777777777777; harmony 0.1; 
250 pitch 75.11111111111111; amp 0.59; tmpo 66.11111111111111; harmony 0.1; 
250 pitch 76.0; amp 0.8354545454545453; tmpo 65.0; harmony 0.1; 
250 pitch 77.77777777777777; amp 0.5572727272727273; tmpo 62.77777777777778; harmony 0.1; 
250 pitch 68.88888888888889; amp 0.6963636363636363; tmpo 73.88888888888889; harmony 0.1; 
250 pitch 77.77777777777777; amp 0.5654545454545454; tmpo 62.77777777777778; harmony 0.1; 
250 pitch 71.11111111111111; amp 0.5818181818181818; tmpo 71.11111111111111; harmony 0.2; 
250 pitch 68.0; amp 0.5981818181818181; tmpo 75.0; harmony 0.1; 
250 pitch 63.111111111111114; amp 0.5490909090909091; tmpo 81.11111111111111; harmony 0.1; 
